44902|2015|Toyota|White|Corolla|Sedan|78432|10995.0|
44903|2018|Ford|Black|Escape|SUV|56210|13950.0|
44904|2011|Nissan|Silver|Altima|Sedan|128430|5499.0|
44905|2013|Chevrolet|Blue|Cruze|Sedan|94211|6990.0|
44906|2016|Honda|Red|Accord|Sedan|65312|12995.0|
44907|2014|Hyundai|Gray|Elantra|Sedan|87245|7995.0|
44908|2017|Kia|White|Sportage|SUV|60120|13500.0|
44909|2010|Ford|Green|Fusion|Sedan|142330|3995.0|
44910|2019|Toyota|Black|RAV4|SUV|42100|21995.0|
44911|2012|Mazda|Blue|CX-5|SUV|98540|8995.0|
44912|2015|Subaru|Silver|Outback|Wagon|77230|14950.0|
44913|2013|Volkswagen|White|Jetta|Sedan|103900|7495.0|
44914|2011|Dodge|Red|Charger|Sedan|131210|6795.0|
44915|2018|Chevrolet|Gray|Equinox|SUV|53400|16995.0|
44916|2014|Nissan|Black|Rogue|SUV|90222|8499.0|
44917|2016|Honda|Silver|CR-V|SUV|71280|15950.0|
44918|2017|Toyota|Blue|Camry|Sedan|64890|14995.0|
44919|2009|Ford|Maroon|Focus|Hatchback|151120|2595.0|
44920|2020|Hyundai|White|Tucson|SUV|31250|19995.0|
44921|2013|Kia|Black|Forte|Sedan|96750|6790.0|
44922|2015|Mazda|Red|Mazda3|Sedan|83210|8999.0|
44923|2012|Chevrolet|Silver|Malibu|Sedan|110450|6495.0|
44924|2014|Subaru|Blue|Impreza|Hatchback|95340|7990.0|
44925|2016|Volkswagen|White|Tiguan|SUV|70310|13995.0|
44926|2011|Nissan|Gray|Sentra|Sedan|121500|4295.0|
44927|2018|Ford|Black|Edge|SUV|54800|17950.0|
44928|2017|Toyota|Silver|Prius|Hatchback|68220|15995.0|
44929|2010|Honda|Blue|Fit|Hatchback|140900|3595.0|
44930|2019|Chevrolet|White|Malibu|Sedan|38210|16995.0|
44931|2013|Kia|Gray|Sorento|SUV|99520|8495.0|
44932|2014|Hyundai|Black|Sonata|Sedan|89234|7499.0|
44933|2015|Ford|Blue|Focus|Sedan|81210|8990.0|
44934|2016|Mazda|Red|CX-3|SUV|71100|12950.0|
44935|2012|Toyota|Green|Yaris|Hatchback|119800|4995.0|
44936|2018|Nissan|White|Murano|SUV|60220|18995.0|
44937|2011|Chevrolet|Silver|Impala|Sedan|134500|4895.0|
44938|2017|Honda|Black|Pilot|SUV|68840|21995.0|
44939|2013|Subaru|Blue|Forester|SUV|102300|7995.0|
44940|2014|Volkswagen|White|Passat|Sedan|90510|8999.0|
44941|2015|Hyundai|Gray|Accent|Sedan|86320|6990.0|
44942|2016|Ford|Red|Transit|Van|120450|20995.0|
44943|2019|Toyota|Silver|Corolla|Sedan|33220|16995.0|
44944|2010|Nissan|Black|Maxima|Sedan|145300|3495.0|
44945|2018|Kia|White|Optima|Sedan|45210|14995.0|
44946|2012|Honda|Blue|Odyssey|Minivan|125600|7995.0|
44947|2017|Chevrolet|Gray|Traverse|SUV|73450|17950.0|
44948|2013|Mazda|Red|6|Sedan|101200|6495.0|
44949|2015|Ford|Silver|Escape|SUV|84230|9995.0|
44950|2016|Toyota|Black|Highlander|SUV|69800|21950.0|
44951|2014|Nissan|White|Titan|Truck|110120|15995.0|
44952|2019|Honda|Gray|Civic|Sedan|28830|16995.0|
44953|2011|Hyundai|Blue|Santa Fe|SUV|129900|4995.0|
44954|2018|Ford|Black|F-150|Truck|58220|26995.0|
44955|2013|Chevrolet|Red|Silverado|Truck|102500|13995.0|
44956|2017|Toyota|White|4Runner|SUV|67340|22995.0|
44957|2012|Kia|Silver|Rio|Sedan|117600|4595.0|
44958|2016|Mazda|Blue|CX-9|SUV|75410|17990.0|
44959|2014|Nissan|Black|Frontier|Truck|95320|10995.0|
44960|2015|Honda|White|HR-V|SUV|81200|12950.0|
44961|2010|Ford|Gray|Taurus|Sedan|150220|2795.0|
44962|2020|Chevrolet|Black|Equinox|SUV|25110|20995.0|
44963|2013|Toyota|Blue|Avalon|Sedan|98740|8995.0|
